Date,Open,High,Low,Close,Adj Close,Volume
2022-11-01,75.190002,75.269997,73.650002,74.269997,73.472397,11658800
2022-11-02,74.570000,75.209999,72.309998,72.339996,71.563126,15733300
2022-11-03,71.440002,73.389999,71.269997,72.889999,72.107216,8729500
2022-11-04,74.750000,75.980003,74.129997,75.419998,74.610046,9639800
2022-11-07,75.889999,76.059998,75.099998,76.010002,75.193710,5576600
2022-11-08,76.449997,78.080002,76.239998,77.320000,76.489647,6156800
2022-11-09,76.959999,77.650002,75.900002,76.070000,75.253067,6603900
2022-11-10,79.160004,80.339996,78.779999,80.279999,79.417854,8718300
2022-11-11,81.180000,82.180000,81.010002,81.250000,80.377434,6491200
2022-11-14,80.980003,82.260002,80.900002,81.139999,80.268623,6366900
2022-11-15,82.029999,82.080002,80.220001,81.019997,80.149910,7227500
2022-11-16,80.709999,80.970001,80.070000,80.230003,79.368393,6398900
2022-11-17,79.000000,79.510002,78.480003,79.459999,78.606659,4679300
2022-11-18,80.269997,80.269997,79.250000,79.989998,79.130966,3745600
2022-11-21,79.419998,80.529999,79.239998,80.260002,79.398071,3619100
2022-11-22,80.860001,82.099998,80.680000,82.080002,81.198524,3607000
2022-11-23,82.000000,82.480003,81.790001,82.400002,81.515083,4247900
2022-11-25,82.279999,82.430000,82.099998,82.370003,81.485413,1228300
2022-11-28,81.769997,81.800003,80.370003,80.529999,79.665169,3232000
2022-11-29,80.830002,81.239998,80.580002,80.800003,79.932274,2836600
2022-11-30,80.830002,82.779999,80.080002,82.750000,81.861328,7312400
2022-12-01,83.320000,83.410004,82.129997,82.849998,81.960251,4107900
2022-12-02,81.769997,83.980003,81.769997,83.760002,82.860481,3412500
2022-12-05,83.129997,83.459999,81.970001,82.099998,81.218307,4726200
2022-12-06,82.150002,82.650002,80.779999,81.370003,80.496155,4747800
2022-12-07,81.239998,81.989998,80.989998,81.190002,80.318085,4083600
2022-12-08,81.720001,82.209999,81.529999,81.790001,80.911644,2761900
2022-12-09,81.589996,82.290001,80.959999,80.980003,80.110336,3936200
2022-12-12,81.029999,81.699997,80.739998,81.680000,80.802818,3192900
2022-12-13,84.199997,84.360001,82.220001,82.809998,81.920685,6288000
2022-12-14,82.470001,83.000000,81.290001,81.919998,81.040245,7817600
2022-12-15,80.529999,80.610001,79.220001,79.419998,78.567093,5228400
2022-12-16,78.790001,79.320000,78.300003,79.080002,78.230743,7285300
2022-12-19,78.419998,78.870003,77.180000,77.550003,77.214165,3230000
2022-12-20,77.690002,78.519997,77.660004,78.059998,77.721954,2820900
2022-12-21,78.470001,79.070000,78.279999,78.739998,78.399010,2877700
2022-12-22,78.180000,78.180000,76.660004,77.980003,77.642303,3315600
2022-12-23,77.980003,78.540001,77.550003,78.519997,78.179962,3101100
2022-12-27,78.709999,79.110001,78.250000,78.589996,78.249657,2434300
2022-12-28,78.570000,78.870003,77.330002,77.389999,77.054855,2523200
2022-12-29,77.820000,78.559998,77.820000,78.230003,77.891220,3223100
2022-12-30,77.660004,77.949997,77.029999,77.680000,77.343597,2909400
2023-01-03,77.809998,78.320000,76.889999,77.599998,77.263947,5342000
2023-01-04,77.989998,79.169998,77.940002,78.949997,78.608101,4871000
2023-01-05,77.720001,78.139999,77.139999,77.699997,77.363510,4106300
2023-01-06,78.419998,80.550003,78.419998,80.370003,80.021957,4364600
2023-01-09,81.029999,81.959999,80.610001,80.879997,80.529739,8395600
2023-01-10,80.910004,81.750000,80.459999,81.690002,81.336235,4024500
2023-01-11,82.550003,83.010002,82.059998,82.970001,82.610695,4922900
